seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
508,keda_style,204,574.56681197891,171906.0,0.0,0.4093,0.8186,7,7,147.77470789223312,194.9110731648829,181.01440801037504,194.5951471196856,0.08058297433502636,236.1109885547997,0
508,keda_style,205,551.9293000904127,165381.0,0.0,0.39376428571428573,0.7875285714285715,6,7,142.72912855576834,191.4069301976418,178.42494427053165,189.74408626493943,0.05734392048164038,223.9436387801179,0
508,keda_style,206,558.7191396020103,167633.0,0.0,0.4656472222222222,0.9312944444444444,6,6,140.4000210016931,189.44813154990788,173.7266653782649,184.93885999893706,0.4068500785998015,275.4755566880644,0
508,keda_style,207,465.26053130376783,139594.0,0.0,0.3877611111111111,0.7755222222222222,6,6,140.2278696183047,189.92480413841216,172.74424585106007,181.28047575457396,0.06354712330342166,221.09221142592034,0
508,keda_style,208,640.3554642513426,192405.0,12405.0,0.5344583333333334,1.0689166666666667,7,6,143.08890347505567,191.6810668494835,175.8989792795402,179.66602681206382,7.286533337003212,7203.997817723155,0
508,keda_style,209,536.3944066642036,160970.0,0.0,0.412797619047619,0.825595238095238,7,7,148.54685025965222,196.58262259918214,179.72844888302015,179.6847534333507,0.046966467910724355,221.75162702256958,0
508,keda_style,210,623.8066999821016,187417.0,0.0,0.4462309523809524,0.8924619047619048,6,7,142.14397932441446,194.62676221183443,174.48117999126325,178.12368140072445,0.18341319068486417,255.13253727027643,0
508,keda_style,211,782.8109185741272,234942.0,54942.0,0.6526166666666666,1.3052333333333332,7,6,143.99010134976646,207.92237556428498,178.85007439879269,178.3415993001449,7.4350961250711585,30616.35092864504,0
508,keda_style,212,760.8771107470118,228502.0,73444.0,0.6748666666666666,1.3497333333333332,8,7,210.34952214296337,285.52038237287,253.14618622481217,200.78297537754509,6.4848903193873335,40864.89012017591,0
508,keda_style,213,728.4791434785561,218826.0,52270.0,0.6088958333333333,1.2177916666666666,9,8,227.06992955392514,296.67010664913073,269.7893844096462,221.4848980871754,0.21967236403840917,29109.207127156704,0
508,keda_style,214,764.448986578067,228906.0,11176.0,0.5206962962962963,1.0413925925925926,10,9,233.2675111733105,297.56665281755363,273.626924455878,237.12750599778616,0.08390570293687231,6481.80094063787,0
508,keda_style,215,668.6256242681793,201108.0,0.0,0.35380666666666666,0.7076133333333333,10,10,233.6361470905804,297.56665281755363,274.55868116244886,248.35685854718497,0.010297700062482776,304.6829491453086,0
508,keda_style,216,639.2969558405762,191419.0,0.0,0.31903166666666666,0.6380633333333333,9,10,233.57554833514658,297.56665281755363,274.5571700016005,256.2169519835096,0.007666611528613231,302.98755589904795,0
508,keda_style,217,600.6164207217906,180430.0,0.0,0.3341296296296296,0.6682592592592592,8,9,233.3479361894716,297.56665281755363,273.9683215740752,261.54236286067925,0.01214088233898112,305.8271345281435,0
508,keda_style,218,725.9292878150475,217755.0,0.0,0.45365625,0.9073125,8,8,233.3479361894716,297.56665281755363,273.9683215740752,265.270150474698,0.19774564077903575,358.3810765682265,0
508,keda_style,219,877.9382673393856,263873.0,23873.0,0.5497354166666667,1.0994708333333334,9,8,230.0653469745981,298.27797013988067,274.2401411162093,267.9611476671514,5.465019230032935,13607.14985183819,0
508,keda_style,220,878.1346001415143,263126.0,16999.0,0.5314796296296296,1.0629592592592592,10,9,207.26998931577535,270.3084111199338,247.89580493631718,261.9415448479011,0.9241082646009191,9760.568949112894,0
508,keda_style,221,825.8275349864986,247515.0,0.0,0.4408566666666667,0.8817133333333333,10,10,168.42474380732014,233.0350744594302,214.50398297811122,247.71027628696413,0.053056003885809,297.79189447905696,0
508,keda_style,222,720.0374843403987,215889.0,0.0,0.359815,0.71963,9,10,151.44759719916777,212.1668098889915,193.1808134316407,231.35143743036707,0.017334862976445355,244.34596903914735,0
508,keda_style,223,716.3301866195101,214184.0,0.0,0.396637037037037,0.793274074074074,8,9,146.59143297656553,207.50226083007777,184.7908904264473,217.38327332919113,0.0443614513694353,236.30097583608668,0
508,keda_style,224,730.1132075293862,219223.0,0.0,0.4567145833333333,0.9134291666666666,8,8,145.91894355798598,211.1320030241953,186.46682219648844,208.10833798938032,0.21812408758822643,274.950224514127,0
508,keda_style,225,680.534538158839,204476.0,0.0,0.42599166666666666,0.8519833333333333,8,8,146.0176669032071,211.1320030241953,186.54748232417205,201.64008128981783,0.093238463957586,251.12654003549466,0
508,keda_style,226,712.1888203262029,213849.0,0.0,0.44551875,0.8910375,7,8,148.0282970368141,215.9762866782934,192.22716079578382,198.8162051416076,0.15392778540662205,269.39451811864865,0
508,keda_style,227,731.9012979037766,219354.0,9354.0,0.5222714285714286,1.0445428571428572,8,7,147.48716249100255,209.61290435739627,187.02935282087586,195.28014944538808,6.156251277155348,5543.885281148019,0
508,keda_style,228,541.6838924737003,162647.0,0.0,0.3583354166666667,0.7166708333333334,8,8,139.73099141016812,201.45057318662023,176.229639198307,189.56499637126373,0.01661103286040192,220.51309860198745,0
508,keda_style,229,710.7236507949759,212754.0,0.0,0.4432375,0.886475,7,8,135.95804025547082,200.83419603883198,171.6808975590637,184.1997667276037,0.15082022433011585,254.28528283815842,0
508,keda_style,230,743.0034715036583,222591.0,12591.0,0.5299785714285714,1.0599571428571428,8,7,136.48144250160595,186.79811105716763,170.26687233127382,180.0198984087047,6.237006821996371,7309.5844560247315,0
508,keda_style,231,477.70680723735126,143629.0,0.0,0.32545833333333335,0.6509166666666667,8,8,138.93323297842386,197.6485799612431,174.830200569309,178.462989056886,0.008080111456556714,203.3409907572104,0
508,keda_style,232,579.4250362355931,173750.0,0.0,0.3619791666666667,0.7239583333333334,7,8,138.85588106246814,191.36824285315544,172.0539695668335,176.5402832098702,0.026655848307888787,213.88609000326136,0
508,keda_style,233,413.84140735526904,124302.0,0.0,0.29595714285714286,0.5919142857142857,6,7,136.48144250160595,194.6524895967567,172.079335483687,175.20199889201524,0.010363324100784915,201.81012012863684,0
508,keda_style,234,488.91497506541276,146403.0,0.0,0.406675,0.81335,5,6,135.8869446180736,186.91628048619532,167.9768512152275,173.03445458897892,0.10046551894174036,236.51750541135448,0
508,keda_style,235,709.8474314613427,213001.0,63001.0,0.7100033333333333,1.4200066666666666,6,5,154.0391631651049,224.03901952387002,195.15729980345608,179.67130815332206,9.40553023832568,35073.79763758711,0
508,keda_style,236,559.1344172613971,167518.0,50519.0,0.6403305555555555,1.280661111111111,7,6,228.78276934754808,304.78404521226975,274.55744636408696,208.13714961655154,0.4498137427313572,28177.718120556397,0
508,keda_style,237,418.53305055042523,125231.0,0.0,0.41845238095238096,0.8369047619047619,7,7,229.6229963790451,304.78404521226975,275.9533889256235,228.48202140927313,0.010847837237866928,312.24546950484233,0
508,keda_style,238,500.93672888561065,150631.0,0.0,0.3586452380952381,0.7172904761904761,6,7,229.6229963790451,304.78404521226975,275.9533889256235,242.72343166417824,0.030426182684953573,322.8460825873373,0
508,keda_style,239,363.9061292790824,109146.0,0.0,0.30318333333333336,0.6063666666666667,5,6,229.99319723420695,304.78404521226975,277.0578375217315,253.0237534214442,0.015546724314648635,315.07217399849037,0
